"日付","休日区分","シフト開始","シフト終了","出勤時刻","退勤時刻","労働時間","残業時間","深夜時間","休憩時間","勤怠状況","エラー"
2021/8/1,"法休","","","","","","","","","",""
2021/8/2,"","10:30","17:00","09:31","19:39","09:08","","","01:00","",""
2021/8/3,"","10:30","17:00","09:42","18:44","08:02","","","01:00","",""
2021/8/4,"","10:30","17:00","08:57","18:40","08:43","","","01:00","",""
2021/8/5,"","10:30","17:00","09:34","19:52","09:18","","","01:00","",""
2021/8/6,"","10:30","17:00","09:29","18:30","08:01","","","01:00","",""
2021/8/7,"公休","","","","","","","","","",""
2021/8/8,"祝日,公休","","","","","","","","","",""
2021/8/9,"祝日,公休","","","","","","","","","",""
2021/8/10,"","10:30","17:00","09:05","18:38","08:33","","","01:00","",""
2021/8/11,"","10:30","17:00","09:09","18:12","08:03","","","01:00","",""
2021/8/12,"公休","","","","","","","","","",""
2021/8/13,"","10:30","17:00","","","","","","","有休",""
2021/8/14,"公休","","","","","","","","","",""
2021/8/15,"法休","","","","","","","","","",""
2021/8/16,"","10:30","17:00","","","","","","","有休",""
2021/8/17,"","10:30","17:00","09:32","19:19","08:47","","","01:00","",""
2021/8/18,"","10:30","17:00","09:27","19:33","09:06","","","01:00","",""
2021/8/19,"","10:30","17:00","09:30","19:29","08:59","","","01:00","",""
2021/8/20,"","10:30","17:00","09:31","18:34","08:03","","","01:00","",""
2021/8/21,"公休","","","","","","","","","",""
2021/8/22,"法休","","","","","","","","","",""
2021/8/23,"","10:30","17:00","","","","","","","",""
2021/8/24,"","10:30","17:00","","","","","","","",""
2021/8/25,"","10:30","17:00","","","","","","","",""
2021/8/26,"","10:30","17:00","","","","","","","",""
2021/8/27,"","10:30","17:00","","","","","","","",""
2021/8/28,"公休","","","","","","","","","",""
2021/8/29,"法休","","","","","","","","","",""
2021/8/30,"","10:30","17:00","","","","","","","",""
2021/8/31,"","10:30","17:00","","","","","","","",""
